1_5,0.2196,0.1083,0.3309
6_10,0.4209,0.3357,0.5062
11_15,0.5944,0.4607,0.7281
16_20,0.7593,0.702,0.8166
21_25,0.8023,0.7531,0.8515
26_30,0.8954,0.8362,0.9545
31_40,0.8592,0.7917,0.9268
40+,0.8717,0.7589,0.9845
