age,setting,skewness
0_4,home,1.8750960709605065
0_4,school,3.806461443073496
0_4,work,20.840144939735662
0_4,other,3.174298697511741
5_9,home,1.6010901388612795
5_9,school,1.7527885197161999
5_9,work,9.562388550591624
5_9,other,3.283882695529495
10_14,home,3.0847977452062287
10_14,school,1.354522819152126
10_14,work,20.12588385643827
10_14,other,2.60303753755164
15_19,home,1.8364108267234602
15_19,school,1.5686610269797139
15_19,work,8.297692267086829
15_19,other,2.7859390841500464
20_24,home,1.1313817579403695
20_24,school,3.6820371131670355
20_24,work,3.6529096653668227
20_24,other,2.2469941789811356
25_29,home,4.064063373090928
25_29,school,6.179220432373815
25_29,work,3.038933450326614
25_29,other,2.5037475360971806
30_34,home,1.7550693333760148
30_34,school,8.148243896676847
30_34,work,3.198715553204844
30_34,other,3.4942070289250835
35_39,home,1.3305741096516128
35_39,school,6.562894090093545
35_39,work,2.451553349522444
35_39,other,2.4053294035469746
40_44,home,1.8463205111142955
40_44,school,8.832996032566825
40_44,work,2.406230403011817
40_44,other,3.068854233503261
45_49,home,1.2966044074370155
45_49,school,6.712788972253761
45_49,work,2.499880538894256
45_49,other,2.5623270844952657
50_54,home,1.4907193082284893
50_54,school,6.293644105092211
50_54,work,4.349890526652285
50_54,other,3.326598345692258
55_59,home,3.0333133204547664
55_59,school,10.240828952706435
55_59,work,3.7297410613174233
55_59,other,2.7772316716132273
60_64,home,1.9825555457987094
60_64,school,12.416432511544121
60_64,work,5.604948861073982
60_64,other,3.108895784473626
65_69,home,2.4708350694116836
65_69,school,9.298250350986079
65_69,work,7.586811354683821
65_69,other,2.4369147193659235
70_74,home,4.268596868586472
70_74,school,7.094615285552976
70_74,work,9.991838801569068
70_74,other,2.2736042156294514
75_79,home,1.243121897926994
75_79,school,8.486077628298807
75_79,work,6.960134266991369
75_79,other,2.5907908445311674
75+,home,1.0939868650689573
75+,school,6.084869844593312
75+,work,3.2271371855584974
75+,other,3.176663959109412
