all,0_4,0_4,1.84299
all,0_4,5_9,1.33508
all,0_4,10_14,0.73019
all,0_4,15_19,0.46964
all,0_4,20_24,0.76057
all,0_4,25_29,1.13939
all,0_4,30_34,1.25025
all,0_4,35_39,1.05403
all,0_4,40_44,0.69295
all,0_4,45_49,0.45795
all,0_4,50_54,0.55952
all,0_4,55_59,0.51089
all,0_4,60_64,0.37112
all,0_4,65_69,0.28263
all,0_4,70_74,0.18447
all,0_4,75+,0.09583
all,10_14,0_4,0.42428
all,10_14,5_9,2.59884
all,10_14,10_14,10.96835
all,10_14,15_19,1.04595
all,10_14,20_24,0.43738
all,10_14,25_29,0.38103
all,10_14,30_34,0.56363
all,10_14,35_39,0.77025
all,10_14,40_44,0.86937
all,10_14,45_49,0.5338
all,10_14,50_54,0.329
all,10_14,55_59,0.20356
all,10_14,60_64,0.15826
all,10_14,65_69,0.15955
all,10_14,70_74,0.12268
all,10_14,75+,0.10019
all,15_19,0_4,0.24135
all,15_19,5_9,0.52057
all,15_19,10_14,3.40885
all,15_19,15_19,9.25084
all,15_19,20_24,1.18944
all,15_19,25_29,0.57432
all,15_19,30_34,0.39106
all,15_19,35_39,0.59267
all,15_19,40_44,0.70598
all,15_19,45_49,0.65503
all,15_19,50_54,0.35483
all,15_19,55_59,0.16419
all,15_19,60_64,0.11422
all,15_19,65_69,0.09016
all,15_19,70_74,0.05625
all,15_19,75+,0.03873
all,20_24,0_4,0.37435
all,20_24,5_9,0.29227
all,20_24,10_14,0.34094
all,20_24,15_19,2.30411
all,20_24,20_24,3.07104
all,20_24,25_29,1.45059
all,20_24,30_34,0.87426
all,20_24,35_39,0.68379
all,20_24,40_44,0.6435
all,20_24,45_49,0.77478
all,20_24,50_54,0.51606
all,20_24,55_59,0.31778
all,20_24,60_64,0.1361
all,20_24,65_69,0.07832
all,20_24,70_74,0.08461
all,20_24,75+,0.06936
all,25_29,0_4,0.82815
all,25_29,5_9,0.39844
all,25_29,10_14,0.21084
all,25_29,15_19,0.62175
all,25_29,20_24,1.7548
all,25_29,25_29,2.60113
all,25_29,30_34,1.58016
all,25_29,35_39,1.12609
all,25_29,40_44,0.89567
all,25_29,45_49,0.80727
all,25_29,50_54,0.76736
all,25_29,55_59,0.42992
all,25_29,60_64,0.20754
all,25_29,65_69,0.10788
all,25_29,70_74,0.05683
